well,E,N,cluster,beta1,beta2,beta3,sy,mean_head,winter_head,summer_head,head_swing,P_eff,recharge_m_mon,et_draw_m_mon,drainage_m_mon,lateral_inflow_m_mon,storage_change_mm
ceh14,241292.0,364488.0,4.0,0.79369700894189,3.55239640854464,0.1011273328600074,0.1541,13.387291237806858,13.39330625989034,13.378945820762686,0.01436043912765328,0.07445697211155378,0.05909627605980995,0.19465428811455326,1.3538210570995546,1.4893790691542979,2.2129436695713705
ceh15,240679.892,363754.368,,,,,0.12,4.907660418943533,4.982005698005698,4.823953488372093,0.15805220963360433,0.07445697211155378,,,,,18.96626515603252
ceh16,240988.214,363614.897,3.0,0.7585340086300997,3.055144543664633,0.1235109892011407,0.2498,5.350392511177348,5.468577464788733,5.236109589041097,0.23246787574763594,0.07445697211155378,0.05647814552623642,0.1674072704283976,0.6608322716698894,0.7717613965720507,58.070475361759456
ceh17,240804.597413,363576.069469,3.0,0.6942074530246796,2.736742452338287,0.049401021336247,0.2823,4.1074903957608875,4.217303599374023,4.004904109589042,0.21239948978498102,0.07445697211155378,0.051688584969491344,0.1499603626812111,0.20291422067941323,0.30118599839113297,59.96037596630014
ceh18,241267.167,363202.889,3.0,0.9529389802848046,4.009262551630878,0.1779619061532594,0.2599,4.434903804319542,4.602682316118934,4.277781876138434,0.32490043998050044,0.07445697211155378,0.07095295107907819,0.2196883619110998,0.7892439346230474,0.937979345455069,84.44162435093207
ceh19,240845.741,363532.891,3.0,0.8484059261201942,2.6006768744106923,0.0885413688191322,0.3602,4.008526174540045,4.124572139303483,3.901478873239436,0.22309326606404722,0.07445697211155378,0.06316973638040825,0.142504621496279,0.35492039444109524,0.43425527955696597,80.35819443626983
ceh20,241153.0,363829.0,4.0,0.8049321533676495,3.455114001666308,0.095593161684167,0.1967,7.6175759470586595,7.723442318258884,7.516941768531542,0.206500549727342,0.07445697211155378,0.059932810894988,0.18932367872326353,0.7281881691486,0.8575790369768754,40.61865813136818
ceh21,241470.51,362937.659,3.0,0.813484609565648,2.9092991494442737,0.0986478952163327,0.3074,3.2066472869657887,3.3257314814814816,3.0884754098360654,0.23725607164541618,0.07445697211155378,0.06056960088760767,0.15941564220851062,0.31632900556033866,0.4151750468812416,72.93251642380093
ceh22,241375.022,362906.94,1.0,0.9610549784624344,2.8763806250616404,0.1627650056300362,0.3128,2.7656209181512583,2.8979708561020034,2.628316417519014,0.26965443858298954,0.07445697211155378,0.07155724372904738,0.15761186492901827,0.45014630431343544,0.5362009255134064,84.34790838875914
ceh23,242325.311,364428.124,1.0,1.839876312794351,5.053416400158329,0.4190840347472455,0.1915,9.703468562838646,9.95225925925926,9.453893781037142,0.49836547822211763,0.07445697211155378,0.13699161931043738,0.27690298570091776,4.0665687563574755,4.206480122747956,95.43698907953554
ceh24,242938.911,363392.114,2.0,2.466039985010339,4.676875830261247,0.2047529493208868,0.2159,5.739678518518518,5.9860556256130035,5.493403225806452,0.49265239980655195,0.07445697211155378,0.1836138703898913,0.25627036812387416,1.1752161048204048,1.2478726025543876,106.36365311823458
ceh34,241251.0,363920.0,4.0,1.011232492475175,3.308916206602865,0.0999530779421989,0.1958,8.994497408059319,9.080718257352085,8.904376784010612,0.17634147334147343,0.07445697211155378,0.07529330949052111,0.18131274062706987,0.8990277004786591,1.0050471316152079,34.5276604802605
ceh37,242886.0,363346.0,,,,,0.12,5.638653444267044,5.87049578328648,5.42799684710149,0.4424989361849905,0.07445697211155378,,,,,53.09987234219885
ceh27,242005.373,364330.297,1.0,2.262235723878362,4.992419205857686,0.32097712001892,0.2124,10.617367468123861,10.878071038251365,10.353467741935486,0.5246032963158793,0.07445697211155378,0.16843922220257188,0.2735606319576763,3.407932032100969,3.5130534418560737,111.42574013749278
ceh28,242331.051,364122.039,2.0,1.7132038202830648,4.6338946235262215,0.3137737634932563,0.2265,9.7930727589695,10.012402616327206,9.573842650776164,0.4385599655510415,0.07445697211155378,0.12755996906822353,0.25391520410580826,3.0728092957451465,3.199164530782731,99.3338321973109
ceh30,241072.0,363760.0,4.0,0.41823892194055706,3.610309222689263,0.0959247335786654,0.2228,6.987197406594678,7.086814120347574,6.893236190778662,0.19357792956891196,0.07445697211155378,0.031140803746894374,0.19782763261600503,0.6702450496891363,0.8369318785582469,43.12916270795358
ceh31,241075.0,363538.0,3.0,0.6694852018168868,3.25737635444342,0.0857481122128911,0.2752,5.058613977840459,5.181209259259259,4.942170465147274,0.23903879411198492,0.07445697211155378,0.04984784100077789,0.17848860388166193,0.433766599013563,0.5624073618944471,65.78347613961826
ceh32,241167.0,364003.0,4.0,0.6216175439103186,3.6478672782631527,0.0849986097204866,0.1972,9.35571480388106,9.433173574739829,9.278446437153676,0.15472713758615342,0.07445697211155378,0.04628376013098315,0.19988563395648534,0.7952227512712651,0.9488246250967673,30.512191531989455
ceh33,240936.0,363808.0,4.0,0.5081778735961868,3.560973406650032,0.0883540373884853,0.2213,7.1349613255704885,7.225787967702751,7.047003814697286,0.17878415300546546,0.07445697211155378,0.037837385762059986,0.19512426648080464,0.6304026397248516,0.7876895204435962,39.5649330601095
ceh40,242060.283,363398.508,2.0,1.0603550851892938,3.4693532218528773,0.1896540135355612,0.2714,7.234018518518518,7.395204545454546,7.086136363636362,0.3090681818181844,0.07445697211155378,0.07895082900628347,0.19010391970708396,1.3719606460276113,1.4831137367284117,83.88110454545523
ceh41,242284.022,363324.592,2.0,1.525221115727202,3.739474263999545,0.1772537213318406,0.2217,6.727652263374487,6.920260101010101,6.55340909090909,0.3668510101010103,0.07445697211155378,0.11356334607765321,0.20490525748497065,1.192501399509708,1.2838433109170253,81.33086893939398
