site_no,well,headline,month,obs_level_m_od,model_level_m_od,n_readings
1,ceh5,False,1953-05,8.543999999999999,8.91286783407213,3
1,ceh5,False,1953-06,8.303999999999998,8.748566186756833,2
1,ceh5,False,1953-07,8.225999999999999,8.539260527975978,2
1,ceh5,False,1953-08,8.028,8.496120647726283,1
1,ceh6,False,1951-02,9.001000000000001,8.4022097977886,2
1,ceh6,False,1951-03,8.970333333333334,8.474657306194613,3
1,ceh6,False,1951-04,8.864,8.429419038461026,4
1,ceh6,False,1951-05,8.46275,8.279801228775739,4
1,ceh6,False,1951-06,8.289333333333333,8.104316470503628,3
1,ceh6,False,1951-09,8.34,8.277969218446284,2
1,ceh6,False,1951-10,8.389,8.229485969048184,2
1,ceh6,False,1951-11,8.65475,8.306433838612744,4
1,ceh6,False,1951-12,9.048,8.679804787535483,1
1,ceh6,False,1952-01,9.113,8.829361824679552,1
1,ceh6,False,1952-03,8.73,8.3732883689756,4
1,ceh6,False,1952-04,8.567499999999999,8.224534205196596,2
1,ceh6,False,1952-05,8.681,8.126897179531387,1
1,ceh6,False,1952-10,8.21,8.055354185932844,1
1,ceh6,False,1952-11,8.498,8.111515384578475,1
1,ceh6,False,1952-12,8.606,8.13055042041138,1
1,ceh6,False,1953-01,8.791,8.069190615470381,2
1,ceh6,False,1953-02,8.752,7.971662839894615,1
1,ceh6,False,1953-03,8.6106,7.838248095041392,5
1,ceh6,False,1953-04,8.668333333333333,7.730540555256748,3
1,ceh6,False,1953-05,8.543999999999999,7.776499322624905,3
1,ceh6,False,1953-06,8.303999999999998,7.690387215316547,2
1,ceh6,False,1953-07,8.225999999999999,7.571829553121591,2
1,ceh6,False,1953-08,8.028,7.615811288856026,1
1,l7,False,1951-02,9.001000000000001,9.670081856077129,2
1,l7,False,1951-03,8.970333333333334,9.823350184215943,3
1,l7,False,1951-04,8.864,9.844352101312728,4
1,l7,False,1951-05,8.46275,9.709264165678073,4
1,l7,False,1951-06,8.289333333333333,9.466881412306666,3
1,l7,False,1951-09,8.34,9.23543912162339,2
1,l7,False,1951-10,8.389,9.193423883677221,2
1,l7,False,1951-11,8.65475,9.315239319934834,4
1,l7,False,1951-12,9.048,9.716945567794614,1
1,l7,False,1952-01,9.113,9.961994634981039,1
1,l7,False,1952-03,8.73,9.789782105412016,4
1,l7,False,1952-04,8.567499999999999,9.687739497220562,2
1,l7,False,1952-05,8.681,9.553671799802457,1
1,l7,False,1952-10,8.21,9.073195423584787,1
1,l7,False,1952-11,8.498,9.197050119288741,1
1,l7,False,1952-12,8.606,9.32271911720384,1
1,l7,False,1953-01,8.791,9.377205782991469,2
1,l7,False,1953-02,8.752,9.387063452143586,1
1,l7,False,1953-03,8.6106,9.340373382773809,5
1,l7,False,1953-04,8.668333333333333,9.27247068097774,3
1,l7,False,1953-05,8.543999999999999,9.24733587946124,3
1,l7,False,1953-06,8.303999999999998,9.045191339391211,2
1,l7,False,1953-07,8.225999999999999,8.793031852785596,2
1,l7,False,1953-08,8.028,8.681118301961778,1
4,ceh27,True,1951-02,11.605,10.845655776520863,1
4,ceh27,True,1951-03,11.587,10.955531418538493,1
4,ceh27,True,1951-04,11.552,10.939211983201018,4
4,ceh27,True,1951-05,11.298666666666668,10.794342325000652,3
4,ceh27,True,1951-06,11.142000000000001,10.588607875554636,3
4,ceh27,True,1951-08,10.8085,10.341157048754782,6
4,ceh27,True,1951-09,11.135666666666665,10.599411037071476,3
4,ceh27,True,1951-10,11.125,10.555746812770613,2
4,ceh27,True,1951-11,11.3615,10.654876259496422,4
4,ceh27,True,1951-12,11.589,11.050552698268794,1
4,ceh27,True,1952-01,11.602,11.247617051437183,1
4,ceh27,True,1952-03,11.52225,10.904707588345591,4
4,ceh27,True,1952-04,11.4015,10.770919401631506,2
4,ceh27,True,1952-05,11.512,10.65436016609816,1
4,ceh27,True,1952-10,11.08,10.404240905690674,2
4,ceh27,True,1952-11,11.3955,10.488883026937492,2
4,ceh27,True,1952-12,11.288499999999999,10.551400434123957,2
4,ceh27,True,1953-01,11.536999999999999,10.53505577349056,2
4,ceh27,True,1953-02,11.517,10.477172800815293,1
4,ceh27,True,1953-03,11.377285714285716,10.372953494920866,7
4,ceh27,True,1953-04,11.4785,10.274696779067538,2
4,ceh27,True,1953-05,11.322333333333333,10.28810583053601,3
4,ceh27,True,1953-06,11.066,10.14979316721311,2
4,ceh27,True,1953-07,10.875,9.971418098590659,3
4,ceh27,True,1953-08,10.74,9.950119182362254,1
4,wmc4,False,1951-02,11.605,11.67524255497957,1
4,wmc4,False,1951-03,11.587,11.81214783377014,1
4,wmc4,False,1951-04,11.552,11.816321659083378,4
4,wmc4,False,1951-05,11.298666666666668,11.67385923172128,3
4,wmc4,False,1951-06,11.142000000000001,11.444237875088659,3
4,wmc4,False,1951-08,10.8085,11.110357691849897,6
4,wmc4,False,1951-09,11.135666666666665,11.329279275808746,3
4,wmc4,False,1951-10,11.125,11.285995559075234,2
4,wmc4,False,1951-11,11.3615,11.400160341740584,4
4,wmc4,False,1951-12,11.589,11.810657507887951,1
4,wmc4,False,1952-01,11.602,12.03984694214449,1
4,wmc4,False,1952-03,11.52225,11.779383730449318,4
4,wmc4,False,1952-04,11.4015,11.658830031096151,2
4,wmc4,False,1952-05,11.512,11.529978327132394,1
4,wmc4,False,1952-10,11.08,11.150034421179328,2
4,wmc4,False,1952-11,11.3955,11.257054073593434,2
4,wmc4,False,1952-12,11.288499999999999,11.35393156412862,2
4,wmc4,False,1953-01,11.536999999999999,11.37380957667493,2
4,wmc4,False,1953-02,11.517,11.34921683865753,1
4,wmc4,False,1953-03,11.377285714285716,11.271435347975217,7
4,wmc4,False,1953-04,11.4785,11.185335971519818,2
4,wmc4,False,1953-05,11.322333333333333,11.178042710549752,3
4,wmc4,False,1953-06,11.066,11.001939066589378,2
4,wmc4,False,1953-07,10.875,10.779306618237738,3
4,wmc4,False,1953-08,10.74,10.709102409679604,1
4,nw13,False,1951-02,11.605,11.69945098455492,1
4,nw13,False,1951-03,11.587,11.834212955724002,1
4,nw13,False,1951-04,11.552,11.837819317267305,4
4,nw13,False,1951-05,11.298666666666668,11.697015757600035,3
4,nw13,False,1951-06,11.142000000000001,11.471115551151192,3
4,nw13,False,1951-08,10.8085,11.145021193660241,6
4,nw13,False,1951-09,11.135666666666665,11.364198293315331,3
4,nw13,False,1951-10,11.125,11.321381742284553,2
4,nw13,False,1951-11,11.3615,11.433774553217965,4
4,nw13,False,1951-12,11.589,11.840073341501126,1
4,nw13,False,1952-01,11.602,12.065997303968759,1
4,nw13,False,1952-03,11.52225,11.80425411570639,4
4,nw13,False,1952-04,11.4015,11.684258911193883,2
4,nw13,False,1952-05,11.512,11.557350412317323,1
4,nw13,False,1952-10,11.08,11.186899128536844,2
4,nw13,False,1952-11,11.3955,11.29154023230853,2
4,nw13,False,1952-12,11.288499999999999,11.385545914319188,2
4,nw13,False,1953-01,11.536999999999999,11.403184680616087,2
4,nw13,False,1953-02,11.517,11.37689925384213,1
4,nw13,False,1953-03,11.377285714285716,11.298229720418398,7
4,nw13,False,1953-04,11.4785,11.2120451575288,2
4,nw13,False,1953-05,11.322333333333333,11.205796871267104,3
4,nw13,False,1953-06,11.066,11.033184171636442,2
4,nw13,False,1953-07,10.875,10.814678514195137,3
4,nw13,False,1953-08,10.74,10.747401423629828,1
4,nw11,False,1951-02,11.605,11.466751505094171,1
4,nw11,False,1951-03,11.587,11.614421573246942,1
4,nw11,False,1951-04,11.552,11.634163115316209,4
4,nw11,False,1951-05,11.298666666666668,11.506578706193942,3
4,nw11,False,1951-06,11.142000000000001,11.283289392484814,3
4,nw11,False,1951-08,10.8085,10.930832508155623,6
4,nw11,False,1951-09,11.135666666666665,11.12081526216745,3
4,nw11,False,1951-10,11.125,11.08009453816769,2
4,nw11,False,1951-11,11.3615,11.194828258758482,4
4,nw11,False,1951-12,11.589,11.592212441359468,1
4,nw11,False,1952-01,11.602,11.828252203059293,1
4,nw11,False,1952-03,11.52225,11.628061523745629,4
4,nw11,False,1952-04,11.4015,11.523279543633382,2
4,nw11,False,1952-05,11.512,11.398550087918059,1
4,nw11,False,1952-10,11.08,10.973023544960746,2
4,nw11,False,1952-11,11.3955,11.081887321997328,2
4,nw11,False,1952-12,11.288499999999999,11.187514385902345,2
4,nw11,False,1953-01,11.536999999999999,11.222003748965388,2
4,nw11,False,1953-02,11.517,11.213492018018759,1
4,nw11,False,1953-03,11.377285714285716,11.15158088822945,7
4,nw11,False,1953-04,11.4785,11.075229013658404,2
4,nw11,False,1953-05,11.322333333333333,11.059169384538693,3
4,nw11,False,1953-06,11.066,10.875200019412958,2
4,nw11,False,1953-07,10.875,10.642431169380812,3
4,nw11,False,1953-08,10.74,10.550377564992628,1
4,nw1,False,1951-02,11.605,11.163782968353042,1
4,nw1,False,1951-03,11.587,11.292637066400788,1
4,nw1,False,1951-04,11.552,11.295072997704896,4
4,nw1,False,1951-05,11.298666666666668,11.155384135920993,3
4,nw1,False,1951-06,11.142000000000001,10.927043142355744,3
4,nw1,False,1951-08,10.8085,10.582689094791807,6
4,nw1,False,1951-09,11.135666666666665,10.770731956244035,3
4,nw1,False,1951-10,11.125,10.730119624542555,2
4,nw1,False,1951-11,11.3615,10.841801933266511,4
4,nw1,False,1951-12,11.589,11.225362129953464,1
4,nw1,False,1952-01,11.602,11.443095053891748,1
4,nw1,False,1952-03,11.52225,11.219539339210444,4
4,nw1,False,1952-04,11.4015,11.109250622351466,2
4,nw1,False,1952-05,11.512,10.982667156083197,1
4,nw1,False,1952-10,11.08,10.596510997897141,2
4,nw1,False,1952-11,11.3955,10.708124268640333,2
4,nw1,False,1952-12,11.288499999999999,10.813559790466197,2
4,nw1,False,1953-01,11.536999999999999,10.847122516653606,2
4,nw1,False,1953-02,11.517,10.838080411734188,1
4,nw1,False,1953-03,11.377285714285716,10.777395652129764,7
4,nw1,False,1953-04,11.4785,10.704085533729678,2
4,nw1,False,1953-05,11.322333333333333,10.690740378025291,3
4,nw1,False,1953-06,11.066,10.514187099257166,2
4,nw1,False,1953-07,10.875,10.294291613057334,3
4,nw1,False,1953-08,10.74,10.215969001584568,1
4,nw2,False,1951-02,11.605,11.008203763502049,1
4,nw2,False,1951-03,11.587,11.145815914517835,1
4,nw2,False,1951-04,11.552,11.156971460946206,4
4,nw2,False,1951-05,11.298666666666668,11.025991612015392,3
4,nw2,False,1951-06,11.142000000000001,10.807320456999037,3
