key,col,Cluster,E,N,slope_mm_yr_2011_2025,p_ar_2011_2025,sig_2011_2025,rho_2011_2025,boot_lo_mm_yr_2011_2025,boot_hi_mm_yr_2011_2025,boot_sig_2011_2025,n_2011_2025,slope_mm_yr_2005_2025,p_ar_2005_2025,sig_2005_2025,rho_2005_2025,boot_lo_mm_yr_2005_2025,boot_hi_mm_yr_2005_2025,boot_sig_2005_2025,n_2005_2025
ceh34,ceh34,4.0,241334.0,363887.0,17.206288967025273,0.13492397726925337,False,0.0,1.5144241043782092,33.01956021292018,True,15.0,17.32685429473406,0.11654474936035936,False,0.0,2.593314619472145,32.099990105623434,True,15
ceh36,ceh36,3.0,241161.0,363306.0,0.9681937289303748,0.8700781175554069,False,0.3280420725446692,-7.364628500460575,9.38595714310298,False,15.0,1.0887590566391618,0.8778856895972921,False,0.33715082689194387,-8.991810300103158,11.458719635866538,False,15
ceh37,ceh37,,242886.0,363346.0,4.704949692638605,0.4947710144097077,False,0.0,-3.218664616936137,13.720854664686495,False,13.0,4.937499387128071,0.4565791201458515,False,0.0,-3.9129870097649757,14.663283687511178,False,13
ceh39,ceh39,3.0,241719.0,363435.0,2.848543267768395,0.2863856363303266,False,0.0,-1.3078743659139225,6.7149849916216775,False,13.0,0.6565013538541323,0.8043891704242845,False,0.0,-3.34258794187913,4.606953292937002,False,13
ceh4,ceh4,3.0,241131.693,363211.05,-11.900853890116794,0.023456116684636916,True,0.24245309821024844,-17.467565167463974,-6.325045987776792,True,15.0,-15.043448636130169,0.0008874316245742917,True,0.26815854679103174,-19.710844081923888,-9.70851824416308,True,20
ceh40,ceh40,3.0,242060.283,363398.508,-2.5567326907052115,0.7650437222444187,False,0.0,-13.582786297906685,8.14052329439993,False,11.0,-5.51155583942536,0.6179574950558253,False,0.0,-19.812504327928984,9.169469874387858,False,11
ceh41,ceh41,3.0,242284.022,363324.592,-0.7082478422205465,0.9092699353050536,False,0.0,-9.896794806978193,8.107236274848404,False,11.0,-3.6630709909406822,0.6626727239699729,False,0.0,-15.962040529846844,8.682075696285025,False,11
ceh42,ceh42,3.0,242120.528,362743.198,8.715994582022669,0.4734754342670556,False,0.0,-8.747549699619075,27.391970368005563,False,11.0,5.761171433302518,0.5980805591430224,False,0.0,-11.469116220754795,23.167208243817367,False,11
ceh5,ceh5,1.0,242521.077,364465.817,-6.25618076662985,0.41616661768666163,False,0.01556838538597706,-19.10315568328909,6.740641001938288,False,15.0,6.875480041496329,0.35167207883569546,False,0.22511755856318352,-4.793724058299671,18.01615665547923,False,20
ceh6,ceh6,1.0,242621.679,364724.912,-11.019901509163903,0.3384191393144438,False,0.0,-25.72718752689773,3.6846801451710824,False,15.0,5.3030425919402,0.49057929929240496,False,0.0,-8.766344451651555,18.846872739991873,False,20
ceh7,,,,,,,,,,,,,17.97185761238205,0.018311786508078125,True,0.10450997726669294,8.307488590773234,28.00602127686397,True,11
ceh8,ceh8,,243149.932,363382.305,7.376422592914943,0.59087673303382,False,0.03096586123466044,-13.368531452862554,27.914960080199073,False,9.0,20.449158055525427,0.026500760674801734,True,0.19405340852276776,7.6606141640138965,33.080571634587415,True,14
ceh9,ceh9,3.0,241711.211,363459.012,6.4205746813112565,0.1492406513379101,False,0.0,1.754179166100774,11.475593714448257,True,15.0,-0.6086115433981308,0.8514917167792284,False,0.0,-6.628160239678721,5.345572980449887,False,20
d10,D10,2.0,242613.907,364118.797,-0.7937110329738959,0.875953376632904,False,0.0,-9.575561690586923,7.874229140230218,False,15.0,-1.2678993727749734,0.8291834578856141,False,0.0,-11.964370132964666,8.492055278200802,False,16
d15,D15,2.0,241980.565,363895.719,6.134860395597243,0.08572120698814133,False,0.0,1.7125310763082295,11.225969275468472,True,15.0,4.629159450754292,0.3105244573273392,False,0.0,-3.1726213065429363,12.091597149801146,False,16
d17,D17,2.0,242446.951,363534.961,-4.186568175830837,0.48416296935108555,False,0.0,-12.080495392969926,3.132529315963118,False,15.0,-2.826722902186482,0.6661010175131965,False,0.0,-12.486474452629366,6.2196160628051995,False,16
d25,D25,3.0,242215.187,363143.807,4.536204231841056,0.26480853528664333,False,0.0,-0.6011332469846324,10.50910780163433,False,14.0,5.290320385658105,0.14991468061463195,False,0.0,1.6021903836874878,9.413116193617684,True,15
d38,D38,2.0,242711.571,363069.196,-1.3294253186882738,0.7283718776282434,False,0.0,-5.370721740953318,2.7682326432472,False,15.0,-1.4982915296376087,0.6247191248278646,False,0.0,-5.413769991511088,2.262975802875307,False,16
d41,D41,2.0,242771.66,363342.853,-3.0437110329738295,0.4794011951925876,False,0.0,-9.311610237542498,3.5536481300765193,False,15.0,-3.40515427473567,0.49400346955259083,False,0.0,-11.97411643812196,4.473724027721968,False,16
d43,D43,2.0,242664.714,363428.693,1.706288967025969,0.5046241995462821,False,0.014435892606563793,-2.1586835493564442,5.640620089034602,False,15.0,0.8742574899700994,0.8137439815683082,False,0.022537067412528543,-5.660040251895181,7.052675133579513,False,16
d44,D44,2.0,242819.407,363279.547,-1.9841872234500355,0.6017238416939001,False,0.0,-6.7326717430049055,3.062554731627334,False,15.0,-2.9541738825788935,0.5070419648812335,False,0.0,-10.055971015362934,3.6080400231153136,False,16
d5,D5,2.0,242083.407,363901.712,2.3729556336926936,0.6326326249503502,False,0.0,-4.666331774255762,9.277295689793142,False,15.0,0.3301398429111593,0.9561131977486432,False,0.0,-9.633492372071883,9.761762511308204,False,16
d6,D6,2.0,242114.898,364021.851,4.146765157502093,0.3879628598464981,False,0.09068469554368708,-4.191831216260173,12.575875209102252,False,15.0,4.702688862519138,0.3965848694133398,False,0.03012285717683312,-6.076982410976894,14.564363118740191,False,16
d7,D7,2.0,242610.75,364204.554,3.611050871787853,0.3765211717131078,False,0.0,-1.982111371672521,9.458102852615639,False,15.0,2.7762182742837362,0.5724513009985556,False,0.0,-5.423723811383632,10.169882331631184,False,16
d8,D8,2.0,242676.867,364024.231,0.21819372893085948,0.9654729121952713,False,0.0,-8.407681932962518,8.870674779474742,False,15.0,1.9061202350682853,0.7481411123387508,False,0.0,-8.596818622323392,11.705631948898727,False,16
d9,D9,2.0,242710.726,363910.68,3.4205746813115137,0.3724936728451897,False,0.0,-1.669115899995603,9.064005829372373,False,15.0,3.3105319997740974,0.4477633644688423,False,0.0,-4.452741856531821,10.613202903208748,False,16
fe1,FE1,,241338.0,363744.0,13.334800205098942,0.39624020794742604,False,0.0,-8.966660059326472,35.98376009573506,False,10.0,10.580875105465935,0.3970932311068983,False,0.0,-7.042309547823746,28.880783880248025,False,10
fe2,FE2,,241135.0,363595.0,6.708537578835843,0.38290053205445435,False,0.0,-4.925988454075662,18.947096047929033,False,10.0,3.95461247920281,0.48038910308449195,False,0.11158700117440462,-4.168711456341575,12.27839680604263,False,10
