key,Cluster,E,N,dry_m,wet_m,swing_mm,amp_coefficient,ci_lo,ci_hi,se,n_dry,n_wet,tier,dry_2012_present,beta_2_atmospheric_draw,beta_3_drainage
nw9,5.0,240937.259,363567.162,-0.9229999999999998,-0.3265,596.4999999999998,0.9907618571431984,0.8630752362131153,1.1184484780732815,0.07762104615810524,5,4,A,True,1.0414410661268527,0.0507652013362762
ceh21,3.0,241470.51,362937.659,-1.1159999999999999,-0.5258333333333333,590.1666666666666,0.9802424521218404,0.8021714916291816,1.1583134126144992,0.10824982400769528,5,4,A,True,1.048839212963948,0.0436629380419763
ceh31,5.0,241075.0,363538.0,-1.6493333333333333,-1.0641666666666667,585.1666666666666,0.9719376586839258,0.8359613961573452,1.1079139212105062,0.08266034196144714,5,4,A,True,1.3374600342552283,0.0402085852485657
d7,2.0,242610.75,364204.554,-0.4786666666666667,0.09833333333333334,577.0000000000001,0.9583731627353325,0.8456724278519805,1.0710738976186844,0.06851108503547233,5,4,A,True,1.806107147346444,0.0759879107008045
ceh17,5.0,240804.597413,363576.069469,-2.208666666666667,-1.6500000000000001,558.6666666666666,0.9279222534629791,0.7799305702253128,1.0759139367006454,0.08996454908064822,5,4,A,True,1.1890928887683725,0.0591442871498509
ceh11,1.0,242618.62,362688.287,-0.5096444444444445,0.039999999999999994,549.6444444444445,0.9129367150816757,0.7104426397632144,1.115430790400137,0.12309670232125304,5,4,A,True,0.671597865432548,0.0925044649612415
ceh28,2.0,242331.051,364122.039,-0.5355555555555556,0.06333333333333332,598.8888888888889,0.8877592258871314,0.8068783025597972,0.9686401492144656,0.0491677345454919,3,4,A,True,1.5441012816685753,0.0780575065549835
d44,2.0,242819.407,363279.547,-0.6253333333333334,-0.0925,532.8333333333334,0.8850141540337543,0.7825575926699926,0.987470715397516,0.062283623929338394,5,4,A,True,1.284183013163827,0.0902115621414347
ceh7,2.0,243385.803,363612.9,-0.48666666666666664,0.03,516.6666666666666,0.8820646847435475,0.4782383763268531,1.2858909931602418,0.2454871175785376,1,2,B,False,,
d6,2.0,242114.898,364021.851,-0.48,0.04083333333333333,520.8333333333333,0.8650826497827593,0.7258395377651027,1.0043257618004158,0.08464626870374262,5,4,A,True,1.966683621411891,0.0671952664691402
d5,2.0,242083.407,363901.712,-0.5153333333333333,-0.0016666666666666653,513.6666666666666,0.8531791125217486,0.7194602999338771,0.9868979251096202,0.08128803196831096,5,4,A,True,1.6600677401717605,0.0707161588255935
wmc1,2.0,242765.629,363643.556,-0.5226666666666666,-0.037500000000000006,485.16666666666663,0.805841789925636,0.7111639487743904,0.9005196310768817,0.05755491863297607,5,4,A,True,1.5506979451083138,0.0582416087595501
ceh19,5.0,240845.741,363532.891,-1.0166666666666666,-0.5333333333333334,483.33333333333314,0.8027966989984004,0.6309225871915359,0.974670810805265,0.10448274273973529,5,4,A,True,0.7762912929764877,0.0444637711288769
nw3,2.0,242091.94,363939.361,-0.4993333333333334,-0.020000000000000004,479.33333333333337,0.7961528642480692,0.7158159157191819,0.8764898127769565,0.04883705077743909,5,4,A,True,2.0646643031624885,0.0674133652170833
d17,2.0,242446.951,363534.961,-0.3253333333333333,0.1491666666666667,474.50000000000006,0.7881248972580852,0.6119908458773293,0.9642589486388411,0.10707237166003397,5,4,A,True,1.3513844651512736,0.0724207355203777
t41c,2.0,242721.13,363323.682,-0.35933333333333334,0.11333333333333334,472.6666666666667,0.7850798063308498,0.7119648977061832,0.8581947149555165,0.044446752963323184,5,4,A,True,1.3727313049942875,0.0708245145416409
d10,2.0,242613.907,364118.797,-0.35266666666666663,0.10666666666666666,459.33333333333326,0.7629336904964111,0.6241267217674349,0.9017406592253874,0.08438113600545666,5,4,A,True,1.9341804971377723,0.0595045547757947
t41b,2.0,242715.085,363309.565,-0.3253333333333333,0.13166666666666668,456.99999999999994,0.7590581202253843,0.6488271965129283,0.8692890439378403,0.06700968006836232,5,4,A,True,1.243364509230155,0.0659227584169962
d8,2.0,242676.867,364024.231,-0.348,0.10583333333333333,453.8333333333333,0.7537984177147052,0.6198501408567788,0.8877466945726317,0.08142752392579114,5,4,A,True,1.591317123371313,0.056750183559753
ceh22,3.0,241375.022,362906.94,-0.6060000000000001,-0.15250000000000002,453.50000000000006,0.7532447648188444,0.49276184206741025,1.0137276875702785,0.1583482813078627,5,4,A,True,,
d41,2.0,242771.66,363342.853,-0.37066666666666664,0.07166666666666667,442.3333333333333,0.7346973928075019,0.6561678353715095,0.8132269502434943,0.04773833278783737,5,4,A,True,1.2973981884153236,0.0663853619816698
