Well,Well_Normalized,Cluster,n,R2,durbin_watson,ar1_phi,ljungbox12_p,hac_maxlag,p_beta_1_ols,p_beta_1_hac,p_beta_2_ols,p_beta_2_hac,p_beta_3_ols,p_beta_3_hac,sig_flips_hac
ceh30,ceh30,4,188,0.6979331238286307,2.381280174011473,-0.20099157110378163,0.20507920805936908,4,1.638182956952552e-40,2.7729776202748487e-49,3.4427775622667435e-22,2.4029051397757632e-39,1.965801900189688e-05,8.22305586327691e-07,0
ceh31,ceh31,5,181,0.6344573176064301,2.705178643355608,-0.3662628995255763,0.0004299457440654238,4,2.3302812487095448e-35,1.1643800625621825e-35,1.1831578334318624e-10,1.4662852427155488e-22,1.5121664057222713e-09,1.202254124927348e-12,0
Ceh32,ceh32,4,184,0.6858721834293371,2.198625097191329,-0.10359221194060461,0.4532715135169322,4,5.287902443042297e-37,1.3477709026541992e-51,3.978014471446665e-24,3.4229347646222293e-34,0.00742425930468565,0.0037132564697611864,0
ceh33,ceh33,4,187,0.6883800315960105,2.2639137222619397,-0.13536910077997746,0.35977746308765507,4,1.2491089310509574e-38,7.882942309968857e-47,2.805539768047449e-22,5.1853822645985354e-36,0.0001947715888425962,6.801531204502712e-06,0
ceh34,ceh34,4,183,0.7251986928219648,2.094995213604218,-0.05035016721809653,0.03613924628020399,4,2.1490984651368324e-38,1.7989600029217733e-56,3.551834083583161e-26,3.307763612963783e-35,0.006218123713783142,0.0022096701195765288,0
ceh36,ceh36,3,178,0.7353487445185151,2.302183258622933,-0.15894801139934125,0.3327482012227372,4,8.753596303080172e-48,3.2727375465966883e-77,3.866461700697005e-08,1.6356438578708559e-12,9.705740883775207e-19,5.449513732821243e-28,0
ceh39,ceh39,3,151,0.7892273656894989,2.2543613428429006,-0.127689685843526,0.09721924007819652,4,1.3443842867156636e-42,1.437454665889463e-41,2.536194090731464e-19,8.446747670091935e-41,2.7744318602934782e-09,1.4501378872121044e-09,0
WMC1,wmc1,2,201,0.725392634199032,2.469367187042731,-0.235907281514892,0.003960790797905201,4,5.0365148905840875e-52,1.199564501827634e-76,3.9813703465279164e-13,1.6216804502393714e-22,1.0006990754686862e-17,1.0961122322789905e-27,0
WMC2,wmc2,3,199,0.7926927733367599,2.194994010339104,-0.09843863093249355,0.2953613859693362,4,3.32341345958679e-61,3.218037950694877e-112,2.912806620853774e-21,2.7232390082076102e-28,1.0314987964897782e-18,9.584392167173499e-28,0
wmc3,wmc3,3,186,0.6594781294268013,2.3973439826370058,-0.20780600371539712,0.2661992929469591,4,4.0770537271449136e-36,4.373695864379645e-39,3.943751889546718e-15,5.799827853344754e-23,7.533255974401016e-07,1.1741821304740524e-09,0
