well_id,cluster_id,easting,northing,distance_to_ridge_m,distance_to_forest_edge_m,winter_mean_m,summer_mean_m,winter_minus_summer_m,p_value
wmc1,2,242765.629,363643.556,1328.5324951904647,-1190.401811236201,-0.0032629577739039482,0.008820475686355704,-0.012083433460259653,0.5150822174127209
ceh1,3,241595.864,363948.335,572.7933123919801,-49.08278243419959,0.03235832567048164,0.023759535031703926,0.008598790638777717,0.668084144586575
ceh18,3,241267.167,363202.889,1384.060927925483,-191.20315551410062,0.017500124511370965,0.019473689202345136,-0.001973564690974171,0.9162854570856467
ceh21,3,241470.51,362937.659,1587.1433647849967,-507.8010126051062,0.01915605122453105,0.011399379678998395,0.007756671545532655,0.5700971692089439
ceh36,3,241161.0,363306.0,1331.3741021966741,-45.60081442329978,0.014783813631878931,0.007955105181101412,0.006828708450777519,0.6894370654379539
ceh39,3,241719.0,363435.0,1065.451078182382,-437.2290513675396,0.0244575659527011,0.01549004525632365,0.008967520696377448,0.7429002966109494
ceh9,3,241711.211,363459.012,1041.7104216935838,-417.3875692191537,0.01344055573940839,0.010391502695011382,0.003049053044397008,0.8542555883673761
d25,3,242215.187,363143.807,1433.7567430418878,-1011.517616619527,0.013659949848806556,0.01156380129075954,0.0020961485580470157,0.9190113025749922
nw1,3,241725.0,364139.0,361.86461556775623,-50.16189118507,0.027952061114796752,0.015469237734510463,0.012482823380286289,0.5463379572308775
nw11,3,241689.0,364237.0,269.9814808463721,34.314446294954905,0.023352899439784313,0.018840336343101647,0.004512563096682666,0.8057241467746388
nw13,3,241761.0,364180.0,320.18900668199086,-57.23049555498308,0.035532731194830906,0.01738834614673446,0.018144385048096446,0.5359665778977811
nw2,3,241703.008,364112.082,390.7539158959304,-46.886010200040666,0.026826351609216714,0.014000852046205908,0.012825499563010805,0.5193559681480618
nw5,3,241711.757,363023.697,1476.7982512374674,-660.2637119792031,0.026695906459683037,0.014849710752181812,0.011846195707501225,0.558345727662715
nw6,3,241444.307,363316.599,1222.2463487570865,-275.00920426951143,0.02409877224093511,0.015518694674503127,0.008580077566431983,0.6414282497867552
nw7,3,241423.695,363584.862,971.5721857221695,-108.49613599654853,0.03291569336228528,0.021609990333294058,0.011305703028991223,0.49389773141358934
wmc2,3,241885.149,362855.856,1649.6892873922975,-897.7497070671844,0.020464361540993868,0.013954587618794293,0.006509773922199575,0.7053172155235962
wmc3,3,241217.327,363562.323,1078.4148929136957,50.3585179258034,0.022356689630767784,0.025724186072212996,-0.0033674964414452113,0.8752837309566956
wmc4,3,241761.0,364180.0,320.18900668199086,-57.23049555498308,0.02529731783927497,0.016250637685013433,0.009046680154261535,0.684198410564797
ceh13,4,240964.108,364066.298,897.6211118662371,541.3374322821658,0.038602761095873885,0.01665916863302126,0.021943592462852626,0.36715018934543625
ceh14,4,241292.0,364488.0,458.1571782696414,212.6553235721624,0.053427424943186995,0.03747277914456864,0.015954645798618355,0.5670837825027686
ceh2,4,241421.0,363979.0,616.1834142526071,113.23387001102041,0.04187832131009866,0.026385716943153503,0.015492604366945155,0.40304266694040713
ceh20,4,241153.0,363829.0,898.1369606023349,252.297431683144,0.020326888276411176,0.020693564553348833,-0.00036667627693765664,0.9858643739482563
ceh30,4,241072.0,363760.0,1003.635391962639,281.1494878809887,0.01805863739703835,0.019050595720573733,-0.0009919583235353836,0.9993885642441716
ceh32,4,241167.0,364003.0,766.0926836878159,337.56811459535123,0.021925286256213757,0.022047193475459376,-0.00012190721924561915,0.9886761717223495
ceh33,4,240936.0,363808.0,1068.3913140792563,420.839931455148,0.018359843720584582,0.024022386159018305,-0.005662542438433723,0.7974355822359531
ceh34,4,241334.0,363887.0,740.8272403199007,134.26096924931724,0.03202471109260601,0.02877371809105923,0.0032509930015467807,0.833049621934534
nw10,4,241435.0,364325.025,360.33491452396316,294.30358377408226,0.031122300030049,0.02506283293453689,0.006059467095512111,0.729611056312888
ceh16,5,240988.214,363614.897,1167.7864660994294,269.93454475333897,0.009009567073006932,0.014436323152225141,-0.00542675607921821,0.7270312935678076
ceh17,5,240804.597413,363576.069469,1321.905320974332,184.23490453690553,0.00838325134531645,0.011772111638474069,-0.0033888602931576185,0.826394436727439
ceh19,5,240845.741,363532.891,1324.003080420124,153.37024889495513,0.006316760316757333,0.012150480963618005,-0.0058337206468606715,0.6678344373490365
ceh31,5,241075.0,363538.0,1175.1889209824947,155.02811253910005,0.01568662453308726,0.017445252196560068,-0.0017586276634728067,0.9398682299162147
nw9,5,240937.259,363567.162,1237.2286237090516,222.46357808355137,0.009328109191538802,0.006849912806227672,0.0024781963853111296,0.8499363260943236
